variant,layer,layers,tokens,dim,pca_var_0,pca_var_1,trajectory_signed_circulation,trajectory_abs_circulation,trajectory_signed_circulation_ratio,trajectory_signed_circulation_alignment,spectral_total,spectral_grad_ratio,spectral_curl_ratio,spectral_harmonic_ratio,spectral_grad,spectral_curl,spectral_harmonic,spectral_signed_curl_circulation,spectral_abs_curl_circulation,spectral_signed_curl_circulation_ratio,spectral_signed_curl_alignment,spectral_signed_vorticity_mean,spectral_abs_vorticity_mean,spectral_signed_vorticity_ratio,spectral_vorticity_rms,hodge_total,hodge_grad_ratio,hodge_curl_ratio,hodge_harmonic_ratio,hodge_grad,hodge_curl,hodge_harmonic,hodge_reconstruction_error,hodge_signed_curl_circulation,hodge_abs_curl_circulation,hodge_signed_curl_circulation_ratio,hodge_signed_curl_alignment,graph_total_power,graph_low_freq_power,graph_high_freq_power,graph_low_freq_ratio,graph_high_freq_ratio,graph_first_nonzero_eigenvalue,graph_eigs_used
real,10,13,1024,768,0.13196052707297048,0.06863496425399988,0.7393408675857923,5.760259884107802,0.08854672525371647,0.12835199842729106,0.006625656254745554,0.47008959625412894,0.5299008236282381,9.580117632992451e-06,0.0031146520737119817,0.003510940706467257,6.347456631623461e-08,16.488891704505647,70.49904614984914,0.1505044645947184,0.23388815317384168,-0.03517478599533624,0.9862852356501226,-0.03566390809059443,1.2958616537611376,3.0378792333279696,0.45627142969040135,0.5427290455337882,0.000999524775766359,1.386097501017333,1.6487452967510052,0.0030364355594974172,0.0,0.2907160421165104,44.990383577864804,0.004519398293612574,0.006461737353569536,0.610646349170046,0.33543266717938613,0.012242614057910342,0.5493075781674387,0.02004861582248018,1.176085004277068e-06,32.0
real,11,13,1024,768,0.13196052707297048,0.06863496425399988,0.4285344760027224,9.027940975854332,0.03326223601332957,0.047467576178096285,0.02281479297881369,0.46618994914057815,0.5338052368456503,4.8140137715598185e-06,0.010636027178445974,0.012178655969640122,1.0983072759529535e-07,11.580950575906922,139.55132754178302,0.05741840427431839,0.08298703265606322,-0.08083438384000209,1.8908011216918388,-0.042751394058658916,2.566678489320807,9.48915512614156,0.4726602066205482,0.5266966012393249,0.0006431921393079751,4.485146022576504,4.9979057535714775,0.006103349985808228,0.0,0.12365249404452183,83.84315852202894,0.0010773578774384202,0.0014748072022123713,0.7643234490267792,0.09756663385493572,0.28493366208052623,0.12765097548579507,0.3727919932894054,0.0008692543082760988,32.0
real,12,13,1024,768,0.13196052707297048,0.06863496425399988,-0.11971016912339301,0.45143465213122963,-0.0038126190555420924,-0.26517718247422867,0.035448262973071396,0.3274754379463875,0.6725245517486496,1.0304962811719464e-08,0.011608435441545268,0.02383982716623309,3.652930316775528e-10,-36.164901871826494,96.61051217601022,-0.17334811905609374,-0.3743371301659113,-2.827915943177334,4.364966791965548,-0.6478665423944545,5.769810295041159,23.340431366673737,0.6106500096393477,0.38920491851519623,0.00014507184566275137,14.252834639045851,9.084210688175782,0.0033860394569281333,0.0,1.3621683599725478,28.116022402397128,0.008794293177656476,0.048448117606294534,2.097986941855097,1.8161589634990942,0.008652760665089472,0.8656674296996325,0.004124315786941202,1.160415617370368e-09,32.0
shuffle_tokens,0,13,1024,768,0.1319605270729705,0.06863496425399994,-0.8017940025291974,8.30675882281293,-0.058099106558849145,-0.09652308675764404,0.03376055316651325,0.5135332731993619,0.48646663034073345,9.645990446063476e-08,0.017337167372620633,0.01642338253735288,3.2565397329800487e-09,-44.28547706419434,149.3120007692625,-0.1857333650951766,-0.2965969033703484,-0.018746209227301795,2.324152940982123,-0.008065824282364208,3.130216343195323,12.068938102613414,0.5209712639438644,0.4716995790438485,0.007329157011634158,6.287569937778774,5.692913022509011,0.08845514231774776,0.0,-0.8788550821012328,89.51993368309098,-0.006792446144864691,-0.009817423292698838,0.9582582292064095,0.1660686831432523,0.07107072851571859,0.17330264231676218,0.0741665725892868,5.2806074799089844e-05,32.0
shuffle_tokens,1,13,1024,768,0.1319605270729705,0.06863496425399994,-1.6062470631012422,18.294934213098976,-0.025395990089710576,-0.08779736753309485,0.1958940060872698,0.51012473257005,0.48987473048356145,5.369463884333373e-07,0.09993037746734426,0.09596352343534645,1.0518457908429772e-07,-86.95320138754606,307.52925973941115,-0.16956906614015396,-0.28274773418707205,0.1815460160058994,5.944366737554474,0.030540850526424256,8.131790347773952,66.0283491230955,0.5213088308682063,0.4781855855884167,0.0005055835443136858,34.42116148551867,31.57380479086384,0.03338284677483607,0.0,0.8509834275585318,193.29395218090485,0.002718654157015057,0.004402535195524855,4.300305620513416,0.2258942306276196,0.09804856130654284,0.052529808474554414,0.022800370475723718,0.0005843710233189229,32.0
shuffle_tokens,2,13,1024,768,0.1319605270729705,0.06863496425399994,-0.9026563760935524,17.37030635455106,-0.01533210979547855,-0.05196548395112527,0.18563767683501892,0.525607441854968,0.4743921370463456,4.210986862499919e-07,0.09757254443315355,0.08806505423008351,7.817178183372702e-08,-26.2855935272817,288.5394042132346,-0.05409410067103954,-0.09109880017585496,0.08415449237101481,5.91482150662218,0.014227731517645328,7.986799834087893,63.84663106420696,0.5207457627290909,0.4787948561341228,0.0004593811681315709,33.24786259121332,30.56943853503539,0.029329939959540835,0.0,0.7176191971247707,188.38057688091476,0.002447465035101647,0.0038094118247573657,3.2574437391535724,0.14471689727441558,0.30361178642528486,0.04442652240926175,0.0932055349954184,0.0006139045695701637,32.0
shuffle_tokens,3,13,1024,768,0.1319605270729705,0.06863496425399994,-0.5799006836337184,15.973219050765906,-0.01099336092011867,-0.03630455963764627,0.17249536967253343,0.5287744839165818,0.47122511744969686,3.986337212179527e-07,0.09121115007659386,0.08128415083346845,6.876247110542838e-08,-20.860058912640472,292.61119259123404,-0.04520050616848702,-0.0712893403971089,0.1043811191455988,4.410583360505204,0.023666057438180378,6.000200786688112,56.51666919790925,0.5380089686964828,0.4606040448167232,0.001386986489602157,30.406474909327436,26.031806432125713,0.07838785661481451,0.0,-0.9320531743154503,174.91023044560325,-0.0033732025291491395,-0.005328751622709211,5.141350953941481,0.2082947689458205,2.448560793659753,0.04051362585667038,0.4762485221481776,0.0005938835096420637,32.0
shuffle_tokens,4,13,1024,768,0.1319605270729705,0.06863496425399994,-0.7249908977948246,14.744009899449761,-0.015779178255682293,-0.04917189439908616,0.16249857102281695,0.4685080017316237,0.5314916649023441,3.3336603213906235e-07,0.0761318807941443,0.0863666360571688,5.41715038501441e-08,-15.8450514737312,290.15009031385046,-0.035160443738673414,-0.05460984505154513,-0.32110760409257494,5.075460291694677,-0.06326669614931779,7.298991964599196,53.17147046699012,0.5516587326079866,0.44795654120819617,0.00038472620007492907,29.33250600872276,23.818508001346647,0.020456457785161423,0.0,-0.7905240389139065,172.45113186466796,-0.0029475572995328473,-0.004584046682478576,2.7630913117326465,0.16532978163042325,0.806651007742337,0.05983507708500238,0.29193787563846807,9.853942235166953e-06,32.0
shuffle_tokens,5,13,1024,768,0.1319605270729705,0.06863496425399994,-0.5868287517435626,12.903954701952603,-0.014451498001411597,-0.04547665931086729,0.14622621025764052,0.4941907359112004,0.5058089327538294,3.3133497023112397e-07,0.07226363845672928,0.07396252335105422,4.8449857022725395e-08,5.250960323021565,268.4257123380784,0.012490443263988682,0.019562061612071104,0.05402353101937648,5.074767329151947,0.010645518802219539,7.011830050002943,40.806475531237226,0.510722423074446,0.4875752387095003,0.0017023382145929537,20.84078206044157,19.896227048036373,0.06946642269967743,0.0,-0.7432408790470391,158.74154371568682,-0.0030337688652118198,-0.004682081713771265,3.141814212230194,0.38081936836932184,0.7271230429200273,0.12121002154961925,0.23143413130208113,1.1624269061884801e-06,32.0
shuffle_tokens,6,13,1024,768,0.1319605270729705,0.06863496425399994,-0.49319372180602766,11.03532128287619,-0.014241714908457138,-0.04469228481560658,0.11423503515362184,0.5087267118929218,0.4912729227738514,3.6533322681021735e-07,0.05811441381667437,0.056120579603093454,4.173385400745128e-08,-16.964603620901343,220.36620612143787,-0.045052000856787025,-0.07698368964773396,-0.2906692069126228,4.686909093971551,-0.06201724869946606,6.493012448688056,35.406833043247396,0.5321592066623995,0.46726625836739094,0.0005745349697165363,18.842072182722564,16.544418396757113,0.0203424637502606,0.0,-0.12682639881238122,145.5042138499255,-0.00055464321183597,-0.0008716338548324878,2.414602314916731,0.34624807288430565,0.06463138221250293,0.14339755691663297,0.026766884887514816,0.0007421401801148047,32.0
